group,role,side,price_band,n_trades,n_contracts,avg_price,win_rate,avg_fee_per_contract,gross_mean_pp,gross_ci_low_pp,gross_ci_high_pp,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,z_net,largest_prefix,largest_share,n_with,net_mean_pp_with,net_ci_low_pp_with,net_ci_high_pp_with,n_without,net_mean_pp_without,net_ci_low_pp_without,net_ci_high_pp_without,pass_loco,top3_prefixes,top3_share_of_abs_pnl,twin_side,twin_n_trades,twin_net_mean_pp,domain_top5
World Events,taker,no,"[0.05,0.20)",12260,1872182,0.1088270799347469,0.2304241435562805,0.0108238172920063,12.159706362153305,11.422136673235933,12.897276051070678,11.077324632952704,0.3761058029429645,10.340157259184494,11.814492006720917,29.45268205455621,KXEPSTEINBILL,0.35880913539967374,12260,11.07732463295264,10.340144549263151,11.814504716642132,7861,23.920239155323646,22.874467295702996,24.966011014944293,True,"['KXEPSTEIN', 'KXEPSTEINBILL', 'KXARRESTJOHNBOLTON']",0.9077388981962774,yes,29412,-4.281687746498076,"[('KXEPSTEINBILL', 0.3588), ('KXEPSTEIN', 0.2162), ('KXARRESTJOHNBOLTON', 0.1715), ('KXLAGODAYS', 0.11), ('KXEPSTEINLIST', 0.0612)]"
World Events,maker,no,"[0.60,0.80)",23874,2320387,0.7094006031666266,0.8256680908100863,0.0099999999999998,11.626748764346146,11.152698005028148,12.100799523664149,10.626748764346122,0.2418626323051019,10.152698005028125,11.100799523664122,43.93712523123796,KXNEXTPOPE,0.33660048588422553,23874,10.626748764346228,10.152698005028228,11.100799523664227,15838,3.0879530243717723,2.4041317388454346,3.77177430989811,True,"['KXNEXTPOPE', 'KXEPSTEINLIST', 'KXEPSTEIN']",0.8885787668283651,yes,14195,-25.4365621697779,"[('KXNEXTPOPE', 0.3366), ('KXEPSTEIN', 0.2178), ('KXLAGODAYS', 0.1021), ('KXNOBELPEACE', 0.0955), ('KXEPSTEINLIST', 0.0873)]"
Science/Tech,maker,no,"[0.60,0.80)",13084,1074732,0.6981779272393759,0.8068633445429533,0.0099999999999999,10.868541730357691,10.183303700784544,11.55377975993084,9.868541730357675,0.3496112395781363,9.183303700784528,10.553779759930825,28.22718669532965,KXLLM1,0.3515744420666463,13084,9.868541730357713,9.183303700784565,10.553779759930858,8484,6.236327204149006,5.3341088735576,7.138545534740413,True,"['KXLLM1', 'LLM1', 'KXOAISOCIAL']",0.5855569830782529,yes,16703,-2.049811411123777,"[('KXLLM1', 0.3516), ('LLM1', 0.1163), ('KXAPPLEMENTION', 0.1041), ('KXSPACEXSTARSHIP', 0.0961), ('KXOAISOCIAL', 0.0503)]"
Media,taker,no,"[0.60,0.80)",29851,1518138,0.6937650329972196,0.8035911694750595,0.0199999999999999,10.982613647783994,10.532411241084182,11.432816054483808,8.982613647783992,0.2296951054590879,8.53241124108418,9.432816054483803,39.10668287785491,KXTSAW,0.10093464205554253,29851,8.982613647783994,8.532407209542022,9.432820086025965,26838,9.911617855279827,9.445052445354158,10.378183265205498,True,"['KXUFSD', 'KXLEBRONMENTION', 'KXVANCE']",0.33040159925408247,yes,44774,-21.4490105865011,"[('KXTSAW', 0.1009), ('KXAPRPOTUS', 0.055), ('KXEARNINGSMENTIONNVDA', 0.054), ('KXVANCEMENTION', 0.0433), ('KXUFSD', 0.042)]"
Media,maker,no,"[0.05,0.20)",25971,1594907,0.1154822686843017,0.2006468753609795,0.0099999999999999,8.516460667667786,8.035598766599431,8.997322568736143,7.516460667667784,0.2453377046267124,7.035598766599427,7.99732256873614,30.63720140002235,KXTSAW,0.12883600939509454,25971,7.516460667667782,7.035594942917678,7.997326392417886,22625,8.738165745856353,8.211655149353895,9.26467634235881,True,"['KXRANKLISTSONGTHRILLER', 'KXSNLMENTION', 'KXEARNINGSMENTIONNVDA']",0.18449338220940725,yes,23189,-5.377937815343484,"[('KXTSAW', 0.1288), ('KXVANCEMENTION', 0.046), ('KXEARNINGSMENTIONNVDA', 0.04), ('KXBERNIEMENTION', 0.0297), ('KXAPRPOTUS', 0.028)]"
Entertainment,maker,no,"[0.40,0.60)",134599,9338087,0.4906068395753312,0.567715956284965,0.0099999999999999,7.710911670963361,7.447461621947776,7.974361719978945,6.710911670963364,0.1344132903140738,6.447461621947779,6.9743617199789485,49.92744136597251,KXSPOTIFYD,0.05789047466920259,134599,6.710911670963364,6.447450159182154,6.974373182744574,126807,7.09636691980725,6.825041584321919,7.36769225529258,True,"['KXSUPERBOWLHEADLINE', 'KXRTMICKEY17', 'KXEMMYDSERIES']",0.17049083601399137,yes,85917,-4.814553580781444,"[('KXSPOTIFYD', 0.0579), ('KXSNFMENTION', 0.0518), ('KXTNFMENTION', 0.0459), ('KXSWIFTMENTION', 0.0395), ('KXMRBEASTMENTION', 0.0299)]"
Science/Tech,maker,no,"[0.20,0.40)",17483,1621482,0.2897786421094778,0.3655551106789452,0.0099999999999998,7.577646856946766,6.86213098830054,8.29316272559299,6.577646856946773,0.3650591166562378,5.862130988300547,7.293162725592999,18.01803203052368,KXSPACEXSTARSHIP,0.25916604701710233,17483,6.577646856946726,5.862047918653879,7.293245795239573,12952,-6.101142680667087,-6.8371726443450145,-5.36511271698916,False,"['KXCEOASTRONOMER', 'KXSPACEXSTARSHIP', 'KXTWITCHSUBSKAICENAT']",0.6010765843657025,yes,10351,-13.228770167133606,"[('KXSPACEXSTARSHIP', 0.2592), ('KXLLM1', 0.2591), ('KXCEOASTRONOMER', 0.1041), ('KXTWITCHSUBSKAICENAT', 0.0911), ('KXAPPLEMENTION', 0.0571)]"
Media,taker,no,"[0.20,0.40)",25778,1232535,0.3011785243230661,0.3831561796881061,0.0199999999999999,8.197765536503997,7.612396869451358,8.783134203556637,6.197765536503998,0.2986574831901219,5.612396869451359,6.783134203556637,20.75208519907928,KXTSAW,0.11602917216230894,25778,6.197765536503998,5.612368565424496,6.783162507583501,22787,8.107078597445918,7.478539776020596,8.73561741887124,True,"['KXTSAW', 'KXRANKLISTSONGTHRILLER', 'KXEARNINGSMENTIONTGT']",0.2313052164289465,yes,49846,-14.99113268868113,"[('KXTSAW', 0.116), ('KXEARNINGSMENTIONNVDA', 0.0677), ('KXVANCEMENTION', 0.06), ('KXSNLMENTION', 0.0452), ('KXBERNIEMENTION', 0.0307)]"
Media,maker,no,"[0.80,0.95)",33176,2083700,0.8658497106341934,0.9333554376657824,0.0099999999999999,6.750572703158911,6.482825119787908,7.018320286529914,5.750572703158907,0.1366059098831651,5.482825119787903,6.018320286529911,42.096075551029934,KXAPRPOTUS,0.13621292500602847,33176,5.750572703158909,5.482825086807769,6.018320319510048,28657,6.812715915832082,6.5440224817774295,7.0814093498867345,True,"['KXUFSD', 'KXTSAW', 'KXCONGRESSMENTION']",0.3087144071703167,yes,18275,1.1803556771545851,"[('KXAPRPOTUS', 0.1362), ('KXTSAW', 0.1114), ('KX538APPROVE', 0.0563), ('KXCONGRESSMENTION', 0.0448), ('KXLEBRONMENTION', 0.0352)]"
Entertainment,maker,no,"[0.20,0.40)",143232,10827910,0.2998225256925825,0.3662449731903485,0.0099999999999999,6.642244749776578,6.395378420734521,6.889111078818636,5.642244749776585,0.1259522086949272,5.395378420734527,5.889111078818641,44.79671145301502,KXSPOTIFYD,0.08903736595174262,143232,5.642244749776591,5.395369096783009,5.889120402770173,130479,6.464925390292697,6.204792813266955,6.725057967318439,True,"['KXEMMYDSERIES', 'KXOSCARACTR', 'KXOSCARPIC']",0.30946539098744424,yes,92239,-2.328461930419897,"[('KXSPOTIFYD', 0.089), ('KXAPPRANKFREE', 0.0426), ('KXEMMYDSERIES', 0.0394), ('KXTNFMENTION', 0.0314), ('KXSNFMENTION', 0.0286)]"
Science/Tech,maker,no,"[0.40,0.60)",15922,1275740,0.4911568898379597,0.5569023991960809,0.0099999999999998,6.574550935812135,5.818546101913989,7.33055576971028,5.574550935812099,0.3857167519888493,4.818546101913955,6.330555769710244,14.45244705361735,KXLLM1,0.3032282376585856,15922,5.574550935812069,4.81853422460227,6.330567647021869,11094,-3.362358031368351,-4.276617745972129,-2.4480983167645727,False,"['KXCEOASTRONOMER', 'KXLLM1', 'LLM1']",0.6845009756481857,yes,14021,-0.6722772983382166,"[('KXLLM1', 0.3032), ('KXCEOASTRONOMER', 0.1843), ('KXSPACEXSTARSHIP', 0.1604), ('KXAPPLEMENTION', 0.0712), ('LLM1', 0.0463)]"
Weather,maker,no,"[0.20,0.40)",241945,9479726,0.3037032796709969,0.3642108743722747,0.0100000000000001,6.050759470127563,5.860188247033269,6.241330693221857,5.05075947012754,0.0972302158644359,4.860188247033246,5.241330693221834,51.94639778615329,KXHIGHNY,0.23810370125441732,241945,5.0507594701275496,4.860188247033256,5.241330693221844,184337,3.4691733075834055,3.2530322139553216,3.68531440121149,True,"['KXHIGHNY', 'KXHIGHCHI', 'KXHIGHAUS']",0.6152410229169725,yes,439542,0.3507241628786234,"[('KXHIGHNY', 0.2381), ('KXHIGHAUS', 0.1442), ('KXHIGHMIA', 0.1288), ('KXHIGHLAX', 0.125), ('KXHIGHCHI', 0.1198)]"
Other,maker,yes,"[0.80,0.95)",49583,4792861,0.8691702801363369,0.9211221588044288,0.0099999999999999,5.1951878668091895,4.96053872771468,5.429837005903699,4.195187866809192,0.1197189485176068,3.9605387277146815,4.4298370059037016,35.04197053812425,KXJFKFILES,0.04084061069318113,49583,4.195187866809191,3.960116057293672,4.43025967632471,47558,3.94982968165188,3.705054311477303,4.194605051826457,True,"['KXALBUMSALESSWIFT', 'KXNEXTTEAMMICAH', 'KXBOLIVIAFIRSTROUND']",0.11179737017125774,no,112185,0.8668538574675727,"[('KXJFKFILES', 0.0408), ('KXTIPTAX', 0.0322), ('KXWHVISIT', 0.0211), ('KXSTATEFLIPDJT', 0.019), ('KXMEASLES', 0.0187)]"
World Events,maker,no,"[0,0.05)",1939,806470,0.0255286230015471,0.073749355337803,0.0099999999999999,4.822073233625581,3.666209038346228,5.977937428904932,3.822073233625587,0.5897266302445678,2.6662090383462345,4.97793742890494,6.481093166914508,KXOTEEPSTEIN,0.20887055183084063,1939,3.8220732336255883,2.6661746386527656,4.977971828598411,1534,5.698174706649293,4.251871679023817,7.144477734274767,True,"['KXEPSTEIN', 'KXARRESTJOHNBOLTON', 'KXEPSTEINBILL']",0.746323817726972,yes,6600,-0.5087878787878783,"[('KXOTEEPSTEIN', 0.2089), ('KXARRESTJOHNBOLTON', 0.1857), ('KXEPSTEINBILL', 0.165), ('KXLAGODAYS', 0.1588), ('KXEPSTEINLIST', 0.1129)]"
Media,taker,no,"[0.80,0.95)",23165,1396034,0.8687761709475503,0.9188862508094108,0.0120125188862507,5.011007986186056,4.658333121745308,5.363682850626804,3.809756097560975,0.1797368926940163,3.4574717878807024,4.162040407241247,21.19629443047452,KXTSAW,0.12657025685301102,23165,3.8097560975609754,3.4573964540987476,4.162115741023204,20233,4.464834676024316,4.101870511518661,4.827798840529971,True,"['KXUFSD', 'KXTSAW', 'KXVANCE']",0.346896160535919,yes,25642,-10.415841198034476,"[('KXTSAW', 0.1266), ('KXAPRPOTUS', 0.0986), ('KX538APPROVE', 0.068), ('KXUFSD', 0.0431), ('KXEARNINGSMENTIONNVDA', 0.0431)]"
Science/Tech,maker,no,"[0.80,0.95)",15152,1591496,0.8819640971488906,0.9264783526927138,0.0099999999999999,4.451425554382253,4.041388231946683,4.861462876817825,3.451425554382248,0.2092027155283527,3.041388231946677,3.861462876817819,16.49799595414183,KXLLM1,0.5909450897571278,15152,3.451425554382287,3.0413882319467156,3.8614628768178583,6198,3.5958373668925616,2.9464597228192453,4.245215010965878,True,"['KXLLM1', 'LLM1', 'KXRANKLISTAIWFCIS']",0.5281534560666429,yes,9138,0.2373604727511581,"[('KXLLM1', 0.5909), ('KXSPACEXSTARSHIP', 0.0921), ('LLM1', 0.061), ('KXRANKLISTAIWFCIS', 0.0463), ('KXAPPLEMENTION', 0.0385)]"
Media,maker,no,"[0,0.05)",12438,2136449,0.021927962694967,0.0654446052420003,0.01,4.35166425470333,3.9143071943597785,4.789021315046882,3.3516642547033317,0.2231413573181386,2.91430719435978,3.789021315046883,15.020363302374166,KXTSAW,0.0968001286380447,12438,3.35166425470333,2.9143071943597785,3.789021315046882,11234,3.9448994124977768,3.4670630665828073,4.422735758412745,True,"['KXEARNINGSMENTIONNIO', 'KXTSAW', 'KXSURVIVORMENTION']",0.1782594604853444,yes,14346,-1.387843301268644,"[('KXTSAW', 0.0968), ('KXEARNINGSMENTIONNVDA', 0.0549), ('KXVANCEMENTION', 0.0482), ('KXSURVIVORMENTION', 0.026), ('KXEARNINGSMENTIONAMZN', 0.0256)]"
Other,maker,no,"[0.20,0.40)",85810,5724648,0.2981784174338655,0.3404847919822864,0.0099999999999999,4.230637454842087,3.91601708488732,4.545257824796855,3.230637454842092,0.1605205969156979,2.9160170848873244,3.54525782479686,20.125999509824624,KXTIPTAX,0.03885328050343783,85810,3.230637454842098,2.9159127886372294,3.5453621210469666,82476,4.583866821863332,4.259851121573517,4.9078825221531455,True,"['KXALBUMSALESSWIFT', 'KXTIPTAX', 'KXDJTHANNITY']",0.09243715356287205,yes,88110,-3.1924072182499166,"[('KXTIPTAX', 0.0389), ('KXDJTHANNITY', 0.0227), ('KXSAUDIPLGAME', 0.0158), ('KXJAN6PARDON', 0.0147), ('KXSTARSHIPLAUNCH', 0.0136)]"
Other,maker,no,"[0.60,0.80)",126487,7987078,0.6981168815767628,0.7395463565425696,0.0099999999999999,4.14294749658068,3.901490693061215,4.3844043001001465,3.1429474965806823,0.123192246693605,2.9014906930612163,3.3844043001001483,25.512543044998583,KXELONTWEETS,0.03240649236680449,126487,3.1429474965806734,2.9014518659555377,3.3844431272058086,122388,3.110607249076704,2.8646617313500045,3.3565527668034036,True,"['KXDEMVASWEEP', 'KXSTATEDEEPKH', 'KXSWINGSWEEP24']",0.09647731700429749,yes,62091,0.889323734518686,"[('KXELONTWEETS', 0.0324), ('KXKNOXGOLD', 0.0298), ('KXWHVISIT', 0.0288), ('ADAMS', 0.0168), ('KXWL', 0.0166)]"
Weather,maker,no,"[0.05,0.20)",122206,7293429,0.1184881266058954,0.1573654321391748,0.0100000000000001,3.887730553327975,3.685943627060241,4.089517479595709,2.887730553327989,0.1029525134019048,2.685943627060256,3.0895174795957225,28.04915060261716,KXHIGHNY,0.2081730847912541,122206,2.8877305533279882,2.6859384513929845,3.0895226552629915,96766,2.4874542711282883,2.262934293767857,2.7119742484887195,True,"['KXHIGHAUS', 'KXHIGHCHI', 'KXHIGHNY']",0.6332518425528361,yes,470286,0.2574709857405949,"[('KXHIGHNY', 0.2082), ('KXHIGHCHI', 0.1396), ('KXHIGHAUS', 0.131), ('KXHIGHLAX', 0.1261), ('KXHIGHMIA', 0.1161)]"
Entertainment,maker,no,"[0.60,0.80)",145307,10794587,0.6979837172331694,0.7329653767540449,0.0099999999999999,3.4981659520876405,3.271898924796176,3.7244329793791047,2.4981659520876285,0.1154423608629919,2.2718989247961647,2.7244329793790927,21.63994164198076,KXSNFMENTION,0.06731265527469427,145307,2.498165952087645,2.2718947206192914,2.7244371835559984,135526,2.419889910423087,2.1852390205569,2.6545408002892743,True,"['KXEMMYDSERIES', 'KXOSCARACTR', 'KXOSCARACTO']",0.19820434338215737,yes,91986,-1.315450177200882,"[('KXSNFMENTION', 0.0673), ('KXTNFMENTION', 0.0643), ('KXSPOTIFYD', 0.0587), ('KXSOUTHPARKMENTION', 0.0324), ('KXAPPRANKFREE', 0.0294)]"
World Events,maker,no,"[0.80,0.95)",28389,7428810,0.8817556095670874,0.91401599210962,0.0099999999999999,3.226038254253427,2.905147647120022,3.546928861386832,2.226038254253452,0.1637196975170434,1.9051476471200468,2.546928861386857,13.596642847582336,KXNOBELPEACE,0.34791644651097253,28389,2.2260382542534636,1.9050962062166368,2.54698030229029,18512,-1.8492869490060058,-2.3295634328288357,-1.3690104651831756,False,"['KXNOBELPEACE', 'KXNEXTPOPE', 'KXEPSTEINLIST']",0.9444661196279361,yes,11861,-13.333951606103987,"[('KXNOBELPEACE', 0.3479), ('KXNEXTPOPE', 0.2818), ('KXEPSTEIN', 0.1192), ('KXLAGODAYS', 0.0953), ('KXEPSTEINLIST', 0.0499)]"
Other,maker,yes,"[0.40,0.60)",65554,4151459,0.490946547884187,0.5224242609146658,0.0099999999999999,3.1477713030478687,2.7681850638673,3.5273575422284376,2.147771303047872,0.1936664485615147,1.768185063867303,2.5273575422284407,11.090053641199862,KXPREEMPT,0.03813649815419349,65554,2.14777130304787,1.7679736449675993,2.527568961128141,63054,0.31312842960002835,-0.07479373351413528,0.701050592714192,False,"['KXPREEMPT', 'KXBLUEWALL', 'KXDEMVASWEEP']",0.13731794557583038,no,98753,0.9207213958057014,"[('KXPREEMPT', 0.0381), ('KXELONTWEETS', 0.0273), ('KXBLUEWALL', 0.022), ('KXDEMVASWEEP', 0.0151), ('KXDJTHANNITY', 0.0148)]"
Entertainment,taker,no,"[0.40,0.60)",87062,6798256,0.4916984447864739,0.5312421033286623,0.0199999999999999,3.954365854218832,3.624889308455944,4.283842399981721,1.9543658542188291,0.1681002784504533,1.6248893084559408,2.283842399981718,11.62619046341954,KXSPOTIFYD,0.05738439273161655,87062,1.954365854218822,1.624863870522275,2.283867837915369,82066,2.4675505081275944,2.128184679859027,2.806916336396162,True,"['KXSUPERBOWLHEADLINE', 'KXRTMICKEY17', 'KXRTMOANA2']",0.18169026159553017,yes,133425,-9.594686153269624,"[('KXSPOTIFYD', 0.0574), ('KXSNFMENTION', 0.0439), ('KXRTMICKEY17', 0.0365), ('KXTNFMENTION', 0.0338), ('KXSWIFTMENTION', 0.0336)]"
Science/Tech,maker,no,"[0.05,0.20)",10387,888804,0.113460094348705,0.1400789448348897,0.0099999999999999,2.661885048618431,2.0025261038086906,3.321243993428172,1.6618850486184629,0.336407624902929,1.002526103808722,2.321243993428204,4.940093284443248,KXLLM1,0.3408106286704535,10387,1.6618850486184666,1.002323693069506,2.3214464041674274,6847,8.893091865050392,7.942530025121358,9.843653704979427,True,"['KXLLM1', 'KXAPPLEMENTION', 'KXCEOASTRONOMER']",0.5768209582315439,yes,10483,-3.248020604788709,"[('KXLLM1', 0.3408), ('KXSPACEXSTARSHIP', 0.3244), ('KXSTREAMERHAIRCUT', 0.0582), ('KXAPPLEMENTION', 0.057), ('SPACEXCOUNT', 0.0256)]"
Entertainment,maker,yes,"[0.80,0.95)",79641,8350213,0.8758732311246717,0.9014075664544644,0.0099999999999999,2.553433532979244,2.3488728288739704,2.757994237084517,1.5534335329792457,0.1043677061761597,1.3488728288739724,1.7579942370845183,14.884235650031838,KXSPOTIFYD,0.10631458670785149,79641,1.553433532979241,1.3488476387156418,1.7580194272428402,71174,1.7431084384747224,1.52898779196961,1.9572290849798346,True,"['KXSONGSONCHARTTSWIFT', 'KXSNFMENTION', 'KXAPPRANKFREE']",0.21067703636058818,no,152529,0.5984435746644882,"[('KXSPOTIFYD', 0.1063), ('KXAPPRANKFREE', 0.0883), ('KXSONGSONCHARTTSWIFT', 0.0524), ('KXSNFMENTION', 0.0511), ('KXTNFMENTION', 0.0386)]"
Entertainment,maker,no,"[0.05,0.20)",106389,10492557,0.1147533109625996,0.1388677400859111,0.01,2.4114429123311574,2.2054491346713787,2.6174366899909365,1.4114429123311705,0.1050988661529483,1.2054491346713916,1.617436689990949,13.429668311331964,KXSPOTIFYD,0.15271315643534575,106389,1.4114429123311694,1.2054184519839855,1.6174673726783533,90142,1.356515275898033,1.1331784112107868,1.5798521405852792,True,"['KXAPPRANKFREE', 'KXSPOTIFYD', 'KXRTMICKEY17']",0.1766986983762681,yes,100164,0.3762828960504732,"[('KXSPOTIFYD', 0.1527), ('KXAPPRANKFREE', 0.137), ('KXSNFMENTION', 0.0314), ('KXTNFMENTION', 0.0278), ('KXNETFLIXRANKSHOW', 0.0276)]"
